City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,Arraial Do Cabo,-22.9661,-42.0278,71.2,91,67,4.23,BR,2022-10-12 23:17:50
109,Ilulissat,69.2167,-51.1,26.62,74,100,4.61,GL,2022-10-12 23:17:50
110,Bredasdorp,-34.5322,20.0403,59.49,97,100,1.16,ZA,2022-10-12 23:17:50
111,Vardo,70.3705,31.1107,40.98,75,100,18.41,NO,2022-10-12 23:17:51
112,Hithadhoo,-0.6,73.0833,79.16,81,96,14.41,MV,2022-10-12 23:17:51
113,Saint-Philippe,-21.3585,55.7679,67.59,77,29,10.58,RE,2022-10-12 23:17:51
114,Jeremoabo,-10.075,-38.4808,71.44,67,2,12.53,BR,2022-10-12 23:17:52
115,Moorhead,46.8739,-96.7676,46.98,54,100,21.85,US,2022-10-12 23:17:52
116,Berlevag,70.8578,29.0864,41.0,81,100,17.27,NO,2022-10-12 23:17:52
117,Hongjiang,27.11,109.9956,52.86,53,66,2.42,CN,2022-10-12 23:17:53
118,Dahuk,36.8695,42.994,68.97,28,100,3.91,IQ,2022-10-12 23:17:53
119,Rio Gallegos,-51.6226,-69.2181,39.25,35,40,32.21,AR,2022-10-12 23:17:54
120,Chokurdakh,70.6333,147.9167,2.93,88,47,5.19,RU,2022-10-12 23:17:54
121,Shawinigan,46.5668,-72.7491,55.81,82,100,4.61,CA,2022-10-12 23:17:54
122,Okhotsk,59.3833,143.3,30.16,59,1,11.16,RU,2022-10-12 23:17:55
123,Ponta Do Sol,32.6667,-17.1,72.72,72,45,5.21,PT,2022-10-12 23:17:55
124,Buraydah,26.326,43.975,72.05,15,0,10.25,SA,2022-10-12 23:17:55
125,Beyneu,45.3167,55.2,53.92,76,4,8.55,KZ,2022-10-12 23:17:56
126,Paita,-5.0892,-81.1144,64.2,82,7,18.34,PE,2022-10-12 23:17:56
127,Ostrovnoy,68.0531,39.5131,40.82,83,97,12.68,RU,2022-10-12 23:17:56
128,Dingle,10.9995,122.6711,78.37,88,100,4.61,PH,2022-10-12 23:17:57
129,Airai,-8.9266,125.4092,65.43,75,67,1.81,TL,2022-10-12 23:17:57
130,Georgetown,5.4112,100.3354,79.9,95,20,3.44,MY,2022-10-12 23:17:57
131,Puerto Ayora,-0.7393,-90.3518,67.55,86,87,4.0,EC,2022-10-12 23:17:58
132,Rio Grande,-32.035,-52.0986,59.11,88,0,8.95,BR,2022-10-12 23:17:32
133,Monrovia,6.3005,-10.7969,76.62,84,100,5.39,LR,2022-10-12 23:13:27
134,Banting,2.8167,101.5,75.34,96,99,3.2,MY,2022-10-12 23:17:58
135,Reconquista,-29.15,-59.65,65.37,41,0,5.7,AR,2022-10-12 23:17:59
136,Ourossogui,15.6064,-13.3211,91.8,36,95,8.86,SN,2022-10-12 23:17:59
137,Haines Junction,60.7522,-137.5108,31.95,100,100,5.75,CA,2022-10-12 23:17:59
138,Faya,18.3851,42.4509,59.11,23,34,4.92,SA,2022-10-12 23:18:00
139,Saint George,37.1041,-113.5841,88.43,12,0,4.61,US,2022-10-12 23:18:00
140,Mandalgovi,45.7625,106.2708,35.55,63,0,8.03,MN,2022-10-12 23:18:00
141,Port Hardy,50.6996,-127.4199,53.78,82,0,2.3,CA,2022-10-12 23:18:02
142,Atambua,-9.1061,124.8925,77.74,76,40,2.82,ID,2022-10-12 23:18:02
143,Jaguaruna,-28.615,-49.0256,63.21,93,100,3.29,BR,2022-10-12 23:18:02
144,Longyearbyen,78.2186,15.6401,33.64,75,0,5.75,SJ,2022-10-12 23:18:03
145,Sebastian,35.1668,-94.2669,81.19,29,51,13.47,US,2022-10-12 23:18:03
146,Nemuro,43.3236,145.575,54.84,63,1,2.44,JP,2022-10-12 23:18:04
147,Citta Di Castello,43.4691,12.2305,61.75,90,100,3.69,IT,2022-10-12 23:18:04
148,Clyde River,70.4692,-68.5914,21.43,79,75,13.8,CA,2022-10-12 23:18:04
149,Carnarvon,-24.8667,113.6333,60.73,42,0,18.7,AU,2022-10-12 23:18:05
150,Benghazi,32.1167,20.0667,76.39,53,0,5.66,LY,2022-10-12 23:18:05
151,Waingapu,-9.6567,120.2641,79.05,73,29,5.48,ID,2022-10-12 23:18:06
152,La Joya,18.6667,-99.4667,85.39,69,55,2.77,MX,2022-10-12 23:18:06
153,Ayan,56.45,138.1667,39.54,55,94,2.93,RU,2022-10-12 23:18:06
154,Cidreira,-30.1811,-50.2056,61.43,87,84,7.38,BR,2022-10-12 23:18:07
155,Arequipa,-16.3989,-71.535,57.27,33,0,9.22,PE,2022-10-12 23:15:40
156,Townsville,-19.25,146.8,79.68,57,20,14.97,AU,2022-10-12 23:16:14
157,Todi,42.7799,12.4046,61.41,69,100,2.73,IT,2022-10-12 23:18:07
158,Penzance,50.1186,-5.5371,56.08,85,100,3.56,GB,2022-10-12 23:18:08
159,Grants Pass,42.439,-123.3284,90.36,27,0,0.0,US,2022-10-12 23:15:15
160,Quatre Cocos,-20.2078,57.7625,71.1,77,39,13.11,MU,2022-10-12 23:18:08
161,Yellowknife,62.456,-114.3525,37.56,51,20,18.01,CA,2022-10-12 23:14:08
162,Yarmouth,41.7057,-70.2286,61.27,88,0,6.91,US,2022-10-12 23:18:03
163,Port Hawkesbury,45.6169,-61.3485,53.58,84,0,3.44,CA,2022-10-12 23:18:09
164,Mahebourg,-20.4081,57.7,71.26,83,75,10.36,MU,2022-10-12 23:18:09
165,Aguas Formosas,-17.0822,-40.9358,74.07,60,10,9.26,BR,2022-10-12 23:18:09
166,Cananea,30.95,-110.3,73.85,32,56,0.51,MX,2022-10-12 23:18:10
167,Nabire,-3.3667,135.4833,80.08,80,100,1.9,ID,2022-10-12 23:18:10
168,Uyutne,45.1994,33.3014,53.58,39,32,6.4,UA,2022-10-12 23:18:10
169,Dangriga,16.9692,-88.2321,82.56,79,100,6.62,BZ,2022-10-12 23:18:11
170,Sungaipenuh,-2.0833,101.3833,62.89,98,99,1.03,ID,2022-10-12 23:18:11
171,Zhigansk,66.7697,123.3711,26.08,95,99,14.83,RU,2022-10-12 23:18:11
172,Meulaboh,4.1363,96.1285,75.9,89,62,3.51,ID,2022-10-12 23:18:12
173,Tura,25.5198,90.2201,70.2,98,100,2.24,IN,2022-10-12 23:18:12
174,Novyy Nekouz,57.9029,38.07,42.39,79,94,5.1,RU,2022-10-12 23:18:13
175,Margate,51.3813,1.3862,55.87,83,100,1.99,GB,2022-10-12 23:18:13
176,Komsomolskiy,40.4272,71.7189,54.32,37,0,6.91,UZ,2022-10-12 23:18:13
177,Tolaga Bay,-38.3667,178.3,56.08,86,100,6.85,NZ,2022-10-12 23:18:14
178,Sena Madureira,-9.0656,-68.6569,75.92,86,89,2.98,BR,2022-10-12 23:18:14
179,Montrose,38.4166,-108.2673,59.72,20,0,8.66,US,2022-10-12 23:18:14
180,Kungurtug,50.5994,97.5228,33.26,57,98,2.46,RU,2022-10-12 23:18:15
181,Forest Hills,42.9595,-85.4898,51.93,93,100,9.44,US,2022-10-12 23:18:15
182,Labuan,5.2767,115.2417,80.96,78,20,5.75,MY,2022-10-12 23:18:16
183,Torbay,47.6666,-52.7314,51.28,83,40,6.91,CA,2022-10-12 23:17:54
184,Vaitape,-16.5167,-151.75,78.49,76,13,13.02,PF,2022-10-12 23:18:16
185,Klaksvik,62.2266,-6.589,47.32,71,85,18.14,FO,2022-10-12 23:18:16
186,Severo-Kurilsk,50.6789,156.125,43.57,80,99,36.24,RU,2022-10-12 23:18:18
187,Panaba,21.2833,-88.2667,84.25,65,93,9.19,MX,2022-10-12 23:18:18
188,Hualmay,-11.0964,-77.6139,63.12,80,10,11.41,PE,2022-10-12 23:18:18
189,Pisco,-13.7,-76.2167,62.65,72,0,19.57,PE,2022-10-12 23:18:19
190,Gatesville,31.4352,-97.7439,96.37,21,0,11.83,US,2022-10-12 23:17:53
